Make,Model,Year,Location,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage(KMPL),Engine(CC),Power(BHP),Seats,Price(Lakhs)
Toyota,Innova,2017,Bangalore,64798,Diesel,Manual,First,13.0,2393.0,147.0,7.0,18.75
Ford,Figo,2010,Jaipur,100002,Diesel,Manual,Third,20.0,1399.0,68.0,5.0,1.28
Chevrolet,Aveo,2006,Pune,78000,Petrol,Manual,Third,14.0,1399.0,92.0,5.0,1.2
Maruti,Ritz,2013,Coimbatore,57717,Petrol,Manual,First,18.0,1197.0,85.0,5.0,4.31
Land,Rover,2011,Chennai,109000,Diesel,Automatic,First,12.0,2179.0,147.0,5.0,16.5
Hyundai,Grand,2017,Coimbatore,74515,Petrol,Manual,First,18.0,1197.0,82.0,5.0,5.64
Audi,Q5,2013,Kochi,13452,Diesel,Automatic,First,12.0,1968.0,167.0,5.0,25.46
Hyundai,Verna,2017,Kochi,37688,Petrol,Manual,First,17.0,1591.0,121.0,5.0,7.88
Mercedes-Benz,E-Class,2017,Chennai,34000,Diesel,Automatic,First,13.0,2143.0,204.0,5.0,36.0
Maruti,Swift,2008,Pune,64000,Petrol,Manual,Second,17.0,1298.0,85.0,5.0,2.85
Honda,City,2011,Delhi,100000,Petrol,Manual,First,13.0,1343.0,90.0,5.0,3.5
Renault,Duster,2014,Jaipur,75000,Diesel,Manual,First,20.0,1461.0,83.0,5.0,7.5
Mercedes-Benz,New,2012,Hyderabad,86000,Diesel,Automatic,First,14.0,2143.0,170.0,5.0,19.0
Hyundai,Xcent,2015,Kochi,41721,Petrol,Manual,First,19.0,1197.0,82.0,5.0,4.7
Maruti,Dzire,2017,Hyderabad,13000,Petrol,Automatic,First,22.0,1197.0,81.0,5.0,8.5
BMW,3,2013,Kolkata,38998,Diesel,Automatic,First,16.0,1995.0,181.0,4.0,17.0
Maruti,Alto,2017,Kochi,54250,Petrol,Manual,First,22.0,796.0,47.0,5.0,3.51
Audi,A4,2013,Bangalore,45979,Diesel,Automatic,Second,17.0,1968.0,174.0,5.0,19.5
Mini,Cooper,2012,Pune,37000,Petrol,Automatic,Second,13.0,1598.0,181.0,4.0,17.0
Chevrolet,Beat,2012,Bangalore,40700,Diesel,Manual,First,25.0,936.0,57.0,5.0,2.65
Maruti,Wagon,2015,Kochi,43828,Petrol,Manual,First,20.0,998.0,67.0,5.0,3.52
Nissan,Terrano,2016,Kolkata,53000,Diesel,Manual,First,19.0,1461.0,108.0,5.0,6.25
BMW,3,2015,Ahmedabad,100000,Diesel,Automatic,First,18.0,1995.0,184.0,5.0,24.75
Maruti,Swift,2015,Mumbai,19000,Petrol,Manual,First,20.0,1197.0,83.0,5.0,5.25
Skoda,Yeti,2016,Jaipur,84000,Diesel,Manual,First,17.0,1968.0,108.0,5.0,11.0
Ford,EcoSport,2018,Kochi,37630,Petrol,Automatic,First,15.0,1499.0,110.0,5.0,9.1
Hyundai,i20,2010,Chennai,67714,Petrol,Manual,First,18.0,1197.0,80.0,5.0,3.25
Maruti,S,2017,Pune,32000,Diesel,Manual,First,15.0,1248.0,88.0,5.0,8.5
Hyundai,Verna,2010,Pune,51000,Petrol,Manual,First,16.0,1599.0,103.0,5.0,3.1
BMW,3,2015,Kochi,58390,Diesel,Automatic,First,18.0,1995.0,184.0,5.0,19.86
Hyundai,Grand,2017,Kolkata,14000,Diesel,Manual,First,24.0,1186.0,73.0,5.0,4.9
Honda,City,2014,Delhi,55818,Petrol,Manual,Second,17.0,1497.0,117.0,5.0,5.7
Maruti,Swift,2006,Chennai,97800,Petrol,Manual,Third,16.0,1493.0,97.0,5.0,1.75
Maruti,Swift,2012,Kolkata,52241,Diesel,Manual,First,25.0,1248.0,74.0,5.0,2.9
Tata,Safari,2015,Kochi,40611,Diesel,Manual,First,14.0,2179.0,138.0,7.0,8.15
Hyundai,Accent,2008,Bangalore,72000,Petrol,Manual,Second,13.0,1495.0,94.0,5.0,2.0
Maruti,Swift,2016,Hyderabad,54631,Diesel,Manual,First,25.0,1248.0,74.0,5.0,6.25
Maruti,Swift,2007,Bangalore,60000,Diesel,Manual,Second,17.0,1248.0,97.0,5.0,3.4
Tata,Nano,2016,Coimbatore,24941,Petrol,Automatic,First,21.0,624.0,37.0,4.0,3.19
Maruti,Ertiga,2017,Ahmedabad,63939,Diesel,Manual,First,25.0,1248.0,88.0,7.0,7.75
Maruti,Celerio,2014,Delhi,35214,Petrol,Automatic,Second,23.0,998.0,67.0,5.0,3.2
Maruti,Swift,2015,Delhi,63000,Diesel,Manual,First,25.0,1248.0,74.0,5.0,4.9
Volkswagen,Vento,2012,Kochi,121377,Petrol,Manual,First,15.0,1598.0,103.0,5.0,3.8
Volkswagen,Jetta,2009,Chennai,100970,Diesel,Automatic,First,15.0,1896.0,105.0,5.0,4.0
Mini,Cooper,2014,Hyderabad,60000,Diesel,Automatic,Second,20.0,1496.0,113.0,5.0,23.5
Tata,Indica,2008,Chennai,77650,Diesel,Manual,First,17.0,1396.0,53.0,5.0,1.15
Hyundai,Santro,2007,Hyderabad,71297,Petrol,Manual,First,17.0,1086.0,97.0,5.0,2.2
Honda,City,2015,Bangalore,18955,Petrol,Automatic,First,18.0,1497.0,117.0,5.0,10.65
Jaguar,XF,2016,Coimbatore,47877,Diesel,Automatic,First,16.0,2179.0,187.0,5.0,35.68
Mercedes-Benz,E-Class,2017,Kochi,43368,Diesel,Automatic,First,15.0,2143.0,204.0,5.0,31.94
Chevrolet,Cruze,2011,Chennai,73000,Diesel,Manual,Third,18.0,1991.0,147.0,5.0,4.2
Mahindra,XUV500,2015,Ahmedabad,72007,Diesel,Manual,First,15.0,2179.0,140.0,7.0,9.9
Mercedes-Benz,New,2014,Kochi,56778,Petrol,Automatic,First,11.0,1796.0,186.0,5.0,15.46
Honda,Jazz,2018,Kochi,20024,Petrol,Manual,First,18.0,1199.0,88.0,5.0,8.46
Toyota,Etios,2013,Kolkata,42103,Petrol,Manual,First,16.0,1496.0,88.0,5.0,3.25
Maruti,Alto,2012,Hyderabad,67147,Petrol,Manual,First,19.0,796.0,46.0,5.0,2.6
Maruti,Swift,2016,Coimbatore,37806,Petrol,Manual,First,20.0,1197.0,81.0,5.0,5.2
Maruti,A-Star,2009,Pune,85000,Petrol,Manual,Third,19.0,998.0,66.0,5.0,1.8
Tata,Nano,2011,Chennai,35000,Petrol,Manual,First,25.0,624.0,37.0,4.0,1.6
Ford,Figo,2015,Kolkata,72035,Diesel,Manual,First,25.0,1498.0,99.0,5.0,2.5
Fiat,Linea,2011,Jaipur,48500,Petrol,Manual,First,16.0,1368.0,90.0,5.0,2.5
Ford,Figo,2017,Coimbatore,28854,Petrol,Manual,First,18.0,1196.0,86.0,5.0,6.7
Maruti,Baleno,2005,Hyderabad,92450,Petrol,Manual,First,15.0,1590.0,94.0,5.0,1.2
BMW,3,2016,Coimbatore,14351,Diesel,Automatic,First,18.0,1995.0,184.0,5.0,35.55
Chevrolet,Cruze,2017,Jaipur,51087,Diesel,Manual,First,17.0,1998.0,163.0,5.0,7.75
Mahindra,Scorpio,2005,Chennai,50000,Diesel,Manual,First,12.0,2609.0,116.0,8.0,1.94
Tata,Indica,2016,Hyderabad,73000,Diesel,Manual,First,25.0,1396.0,69.0,5.0,2.2
Chevrolet,Cruze,2011,Ahmedabad,60000,Diesel,Automatic,First,18.0,1991.0,147.0,4.0,3.8
Toyota,Innova,2016,Chennai,50000,Diesel,Manual,First,12.0,2494.0,102.0,8.0,15.65
Mercedes-Benz,New,2018,Coimbatore,36797,Diesel,Automatic,First,19.0,2143.0,167.0,5.0,39.47
Maruti,Ritz,2011,Kolkata,50000,Petrol,Manual,Second,18.0,1197.0,85.0,5.0,1.5
Toyota,Innova,2013,Ahmedabad,94000,Diesel,Manual,First,12.0,2494.0,102.0,8.0,8.85
Hyundai,i10,2014,Coimbatore,41016,Petrol,Automatic,Second,16.0,1197.0,78.0,5.0,5.08
Hyundai,Verna,2012,Bangalore,67000,Diesel,Manual,First,22.0,1582.0,126.0,5.0,6.25
Audi,Q3,2015,Bangalore,76927,Diesel,Automatic,First,15.0,1968.0,174.0,5.0,22.75
Chevrolet,Beat,2010,Kolkata,17088,Petrol,Manual,First,18.0,1199.0,79.0,5.0,1.46
Ford,Fiesta,2007,Pune,112808,Diesel,Manual,Second,17.0,1399.0,68.0,5.0,2.05
Ford,Figo,2014,Coimbatore,74980,Diesel,Manual,First,20.0,1399.0,68.0,5.0,4.08
Maruti,Celerio,2014,Hyderabad,44600,Petrol,Automatic,First,23.0,998.0,67.0,5.0,4.55
Mercedes-Benz,A,2013,Mumbai,37000,Diesel,Automatic,First,20.0,2143.0,107.0,5.0,14.0
Hyundai,Creta,2016,Ahmedabad,21000,Petrol,Manual,First,15.0,1591.0,121.0,5.0,10.9
Maruti,Wagon,2010,Bangalore,81245,Petrol,Manual,First,18.0,998.0,67.0,5.0,2.45
Mercedes-Benz,E-Class,2013,Delhi,70000,Diesel,Automatic,First,10.0,2148.0,170.0,5.0,15.8
Ford,EcoSport,2017,Mumbai,4018,Petrol,Manual,First,18.0,1499.0,110.0,5.0,8.25
Renault,Koleos,2013,Delhi,70000,Diesel,Automatic,Second,13.0,1995.0,148.0,5.0,8.5
Mahindra,XUV500,2016,Coimbatore,56532,Diesel,Manual,First,16.0,2179.0,140.0,7.0,15.54
Maruti,Omni,2013,Hyderabad,26875,Petrol,Manual,First,16.0,796.0,34.0,8.0,2.35
Maruti,Wagon,2015,Coimbatore,72599,Petrol,Manual,First,22.0,998.0,67.0,5.0,4.32
Hyundai,Verna,2011,Hyderabad,98000,Diesel,Manual,Second,22.0,1582.0,126.0,5.0,5.2
Hyundai,i20,2018,Mumbai,19500,Petrol,Manual,First,18.0,1197.0,81.0,5.0,5.85
Maruti,Ertiga,2013,Bangalore,68000,Petrol,Manual,Second,16.0,1373.0,93.0,7.0,6.25
Mahindra,XUV500,2019,Coimbatore,19654,Diesel,Automatic,First,14.0,2179.0,155.0,7.0,17.63
Maruti,SX4,2017,Mumbai,26000,Diesel,Manual,First,23.0,1248.0,88.0,5.0,9.75
Volkswagen,Polo,2011,Hyderabad,75020,Diesel,Manual,First,22.0,1199.0,73.0,5.0,4.1
Mahindra,XUV500,2017,Kochi,43773,Diesel,Manual,First,16.0,2179.0,140.0,7.0,13.54
Mercedes-Benz,GLE,2016,Mumbai,21000,Diesel,Automatic,First,17.0,2143.0,201.0,5.0,56.0
Honda,Jazz,2016,Chennai,23280,Petrol,Manual,First,18.0,1199.0,88.0,5.0,6.5
Maruti,Swift,2013,Pune,88000,Diesel,Manual,First,23.0,1248.0,74.0,5.0,4.75
Hyundai,Verna,2014,Hyderabad,67000,Petrol,Manual,First,17.0,1591.0,121.0,5.0,5.6
Hyundai,i20,2018,Kolkata,11000,Petrol,Manual,First,18.0,1197.0,81.0,5.0,6.35
Honda,City,2013,Mumbai,60669,Petrol,Manual,First,16.0,1497.0,116.0,5.0,4.95
Hyundai,Verna,2013,Kolkata,35000,Petrol,Manual,First,17.0,1591.0,121.0,5.0,4.5
Honda,Mobilio,2015,Chennai,65000,Diesel,Manual,First,24.0,1498.0,98.0,7.0,5.5
Maruti,Ertiga,2013,Kochi,39929,Diesel,Manual,First,20.0,1248.0,88.0,7.0,6.56
Maruti,Alto,2014,Pune,49000,Petrol,Manual,First,24.0,998.0,67.0,5.0,2.3
Toyota,Qualis,2004,Pune,77757,Diesel,Manual,Second,13.0,2446.0,75.0,10.0,3.5
Hyundai,i10,2016,Kochi,21456,Petrol,Manual,First,20.0,1197.0,78.0,5.0,4.55
Skoda,Laura,2009,Bangalore,74000,Diesel,Automatic,Second,17.0,1896.0,105.0,5.0,7.75
Hyundai,i20,2015,Mumbai,37000,Petrol,Manual,Second,18.0,1197.0,81.0,5.0,5.25
BMW,3,2016,Mumbai,38000,Diesel,Automatic,First,22.0,1995.0,190.0,5.0,23.99
Chevrolet,Aveo,2010,Pune,80000,Petrol,Manual,First,14.0,1399.0,92.0,5.0,1.79
Mercedes-Benz,E-Class,2011,Mumbai,47000,Diesel,Automatic,Second,14.0,2143.0,203.0,5.0,13.9
Audi,A6,2013,Kolkata,31000,Diesel,Automatic,First,17.0,1968.0,174.0,5.0,18.95
Maruti,Wagon,2014,Kolkata,40000,Petrol,Manual,First,20.0,998.0,67.0,5.0,2.49
Renault,KWID,2016,Jaipur,4152,Petrol,Manual,First,25.0,799.0,53.0,5.0,3.15
Volkswagen,Ameo,2017,Mumbai,51000,Diesel,Manual,First,21.0,1498.0,108.0,5.0,6.45
Volkswagen,Polo,2013,Ahmedabad,55000,Diesel,Manual,First,22.0,1199.0,73.0,5.0,4.25
Maruti,Alto,2014,Hyderabad,58500,Petrol,Manual,First,22.0,796.0,47.0,5.0,2.75
Hyundai,i20,2017,Kochi,58620,Petrol,Manual,First,18.0,1197.0,81.0,5.0,7.14
Toyota,Etios,2012,Mumbai,29605,Petrol,Manual,First,18.0,1197.0,97.0,5.0,2.44
Hyundai,i20,2012,Jaipur,71172,Petrol,Manual,Third,17.0,1197.0,80.0,5.0,3.5
Hyundai,i20,2017,Chennai,12000,Diesel,Manual,First,22.0,1396.0,88.0,5.0,7.3
Maruti,Wagon,2014,Kolkata,25000,Petrol,Manual,First,20.0,998.0,67.0,5.0,2.75
Hyundai,i20,2017,Bangalore,43000,Diesel,Manual,Second,22.0,1396.0,88.0,5.0,8.2
Volkswagen,Polo,2015,Mumbai,57022,Petrol,Automatic,First,17.0,1197.0,103.0,5.0,6.51
Ford,Figo,2015,Pune,92000,Diesel,Manual,First,20.0,1399.0,68.0,5.0,4.25
Maruti,Swift,2014,Coimbatore,33372,Petrol,Manual,Second,18.0,1197.0,85.0,5.0,6.21
Hyundai,Grand,2016,Kochi,52625,Diesel,Manual,First,24.0,1120.0,70.0,5.0,4.58
Maruti,Alto,2012,Delhi,65537,CNG,Manual,First,26.0,796.0,38.0,5.0,2.1
Hyundai,i10,2014,Coimbatore,60138,Petrol,Manual,First,19.0,1086.0,68.0,5.0,4.09
Skoda,Octavia,2014,Mumbai,84000,Diesel,Automatic,First,19.0,1968.0,141.0,5.0,10.75
Maruti,Celerio,2014,Hyderabad,33450,Petrol,Automatic,First,23.0,998.0,67.0,5.0,4.4
Volkswagen,Vento,2013,Jaipur,125000,Diesel,Manual,Second,20.0,1598.0,103.0,5.0,6.25
BMW,3,2011,Pune,99606,Diesel,Automatic,Second,16.0,1995.0,181.0,5.0,10.5
Maruti,Ertiga,2014,Mumbai,64000,Diesel,Manual,First,20.0,1248.0,88.0,7.0,7.25
Ford,Figo,2013,Hyderabad,51000,Diesel,Manual,First,20.0,1399.0,68.0,5.0,3.2
Volkswagen,Polo,2014,Mumbai,57000,Petrol,Manual,First,16.0,1198.0,74.0,5.0,3.95
Toyota,Innova,2017,Pune,43200,Diesel,Manual,First,13.0,2393.0,147.0,7.0,18.6
Hyundai,Verna,2013,Delhi,66000,Diesel,Automatic,First,22.0,1582.0,126.0,5.0,5.7
Hyundai,Santro,2013,Kolkata,31000,Petrol,Manual,First,17.0,1086.0,62.0,5.0,1.75
Audi,A4,2011,Delhi,46000,Diesel,Automatic,Second,16.0,1968.0,147.0,5.0,10.99
Audi,A4,2012,Kolkata,47346,Diesel,Automatic,First,16.0,1968.0,147.0,5.0,14.5
Skoda,Laura,2009,Jaipur,100000,Diesel,Manual,First,17.0,1896.0,105.0,5.0,3.11
Honda,CR-V,2015,Coimbatore,63856,Petrol,Automatic,First,13.0,1997.0,153.0,5.0,13.96
Hyundai,Verna,2015,Coimbatore,72996,Diesel,Manual,First,22.0,1582.0,126.0,5.0,7.11
Honda,Mobilio,2014,Chennai,23000,Diesel,Manual,First,24.0,1498.0,98.0,7.0,6.9
Hyundai,i20,2018,Coimbatore,15985,Petrol,Manual,First,18.0,1197.0,81.0,5.0,7.77
Toyota,Innova,2011,Kolkata,98000,Diesel,Manual,Second,12.0,2494.0,102.0,8.0,5.5
Hyundai,i20,2014,Hyderabad,70089,Petrol,Manual,First,18.0,1197.0,81.0,5.0,5.35
Mahindra,Bolero,2011,Chennai,99000,Diesel,Manual,Second,13.0,2523.0,63.0,7.0,4.5
Volkswagen,Vento,2014,Jaipur,72000,Diesel,Manual,First,20.0,1498.0,103.0,5.0,4.75
Jaguar,XF,2015,Coimbatore,44194,Diesel,Automatic,First,16.0,2179.0,187.0,5.0,32.8
Maruti,Zen,2005,Mumbai,102000,Petrol,Manual,First,17.0,993.0,60.0,5.0,0.7
Hyundai,Grand,2015,Coimbatore,61717,Petrol,Automatic,First,18.0,1197.0,82.0,5.0,5.57
Hyundai,Xcent,2018,Jaipur,25302,Diesel,Manual,First,25.0,1186.0,73.0,5.0,5.9
Hyundai,Creta,2016,Coimbatore,47016,Petrol,Manual,First,15.0,1591.0,121.0,5.0,9.43
Hyundai,i10,2010,Bangalore,69000,Petrol,Manual,First,20.0,1197.0,78.0,5.0,2.9
Honda,Brio,2016,Delhi,32700,Petrol,Manual,First,19.0,1198.0,86.0,5.0,3.68
Audi,A4,2011,Ahmedabad,59000,Diesel,Automatic,First,16.0,1968.0,140.0,5.0,12.5
Toyota,Innova,2018,Kochi,41736,Diesel,Automatic,First,11.0,2755.0,171.0,7.0,19.92
Honda,City,2014,Jaipur,71649,Diesel,Manual,First,25.0,1498.0,98.0,5.0,6.75
Honda,City,2015,Kochi,80606,Diesel,Manual,First,25.0,1498.0,98.0,5.0,6.96
Renault,KWID,2017,Jaipur,63262,Petrol,Manual,First,21.0,999.0,67.0,5.0,3.25
Maruti,Celerio,2017,Pune,7500,Petrol,Automatic,First,23.0,998.0,67.0,5.0,5.0
Mahindra,XUV500,2011,Delhi,66000,Diesel,Manual,First,15.0,2179.0,140.0,7.0,5.5
Hyundai,i10,2010,Jaipur,66770,Petrol,Manual,Second,20.0,1197.0,78.0,5.0,2.6
Hyundai,i10,2014,Kochi,58472,Petrol,Manual,First,19.0,1086.0,68.0,5.0,3.41
Maruti,Dzire,2011,Kolkata,46687,Petrol,Manual,First,22.0,1197.0,81.0,5.0,2.7
Mercedes-Benz,New,2011,Mumbai,48000,Petrol,Automatic,Second,14.0,1991.0,184.0,5.0,9.75
Nissan,Sunny,2013,Mumbai,47000,Diesel,Manual,First,21.0,1461.0,84.0,5.0,4.25
Maruti,Wagon,2015,Ahmedabad,51530,Petrol,Manual,First,18.0,998.0,67.0,5.0,3.2
Maruti,Swift,2014,Bangalore,25789,Diesel,Manual,Second,23.0,1248.0,74.0,5.0,6.85
Honda,Amaze,2015,Delhi,48000,Diesel,Manual,First,25.0,1498.0,98.0,5.0,4.5
Hyundai,Accent,2010,Hyderabad,95637,CNG,Manual,Second,13.0,1495.0,93.0,5.0,1.9
Mahindra,Scorpio,2008,Hyderabad,131000,Diesel,Manual,First,10.0,2609.0,120.0,7.0,3.6
Mercedes-Benz,E-Class,2015,Kochi,42076,Diesel,Automatic,First,13.0,2143.0,201.0,5.0,21.8
Datsun,redi-GO,2016,Bangalore,20487,Petrol,Manual,First,22.0,799.0,53.0,5.0,2.66
Honda,City,2010,Delhi,43000,Petrol,Manual,Second,16.0,1497.0,116.0,5.0,3.75
Toyota,Camry,2018,Pune,17000,Petrol,Automatic,First,19.0,2494.0,158.0,5.0,32.0
Honda,City,2016,Coimbatore,60805,Diesel,Manual,First,26.0,1498.0,98.0,5.0,8.07
Volkswagen,Jetta,2012,Kochi,58775,Diesel,Manual,First,19.0,1968.0,138.0,5.0,5.64
Audi,A6,2013,Hyderabad,70181,Diesel,Automatic,First,17.0,1968.0,174.0,5.0,23.99
Maruti,Ertiga,2016,Coimbatore,85827,Diesel,Manual,First,20.0,1248.0,88.0,7.0,7.5
Mercedes-Benz,New,2016,Jaipur,58205,Diesel,Automatic,First,19.0,2143.0,167.0,5.0,27.0
Maruti,Swift,2008,Mumbai,91000,Diesel,Manual,Second,19.0,1248.0,73.0,5.0,2.85
Renault,Duster,2012,Pune,74000,Diesel,Manual,First,19.0,1461.0,108.0,5.0,6.35
Maruti,Ritz,2010,Hyderabad,79324,Diesel,Manual,First,21.0,1248.0,73.0,5.0,3.3
Maruti,Swift,2013,Bangalore,38623,Petrol,Manual,First,19.0,1197.0,85.0,5.0,5.0
Maruti,Swift,2014,Coimbatore,59923,Diesel,Manual,First,22.0,1248.0,74.0,5.0,6.46
Hyundai,EON,2017,Jaipur,23360,Petrol,Manual,First,21.0,814.0,55.0,5.0,3.75
Maruti,Zen,2003,Kochi,61495,Petrol,Manual,Third,17.0,993.0,60.0,5.0,1.52
Maruti,Eeco,2012,Coimbatore,56661,Petrol,Manual,First,15.0,1196.0,73.0,7.0,3.61
Audi,Q5,2017,Coimbatore,40318,Diesel,Automatic,First,14.0,1968.0,174.0,5.0,43.74
Audi,Q3,2014,Chennai,60000,Diesel,Automatic,First,15.0,1968.0,174.0,5.0,20.0
Maruti,Swift,2010,Hyderabad,130000,Diesel,Manual,First,19.0,1248.0,73.0,5.0,3.65
Tata,Sumo,2013,Mumbai,20000,Diesel,Manual,First,14.0,1978.0,83.0,10.0,5.25
Honda,City,2015,Mumbai,30000,Petrol,Automatic,First,18.0,1497.0,117.0,5.0,8.65
Volkswagen,Vento,2014,Chennai,28000,Petrol,Automatic,First,16.0,1197.0,103.0,5.0,7.75
Maruti,Celerio,2015,Bangalore,74000,Petrol,Manual,First,23.0,998.0,67.0,5.0,4.15
Mitsubishi,Outlander,2010,Delhi,76000,Petrol,Automatic,Second,11.0,2360.0,170.0,5.0,5.53
Volkswagen,Jetta,2014,Pune,64889,Diesel,Automatic,First,15.0,1896.0,105.0,5.0,11.5
Hyundai,Creta,2015,Kolkata,43000,Diesel,Manual,First,19.0,1582.0,126.0,5.0,9.25
Skoda,Fabia,2011,Pune,47490,Petrol,Manual,First,17.0,1198.0,75.0,5.0,2.29
Ford,EcoSport,2015,Chennai,80000,Diesel,Manual,First,22.0,1498.0,98.0,5.0,7.0
Maruti,Zen,2007,Bangalore,60000,Petrol,Manual,Second,18.0,1061.0,64.0,5.0,1.65
Maruti,Ciaz,2017,Ahmedabad,6006,Petrol,Manual,First,20.0,1373.0,91.0,5.0,8.25
Mercedes-Benz,New,2011,Kochi,71703,Petrol,Automatic,First,14.0,1991.0,181.0,5.0,9.14
Honda,Amaze,2016,Hyderabad,33000,Petrol,Manual,First,17.0,1198.0,86.0,5.0,6.5
Toyota,Etios,2012,Kolkata,60000,Diesel,Manual,First,23.0,1364.0,97.0,5.0,2.95
Renault,Duster,2015,Jaipur,91000,Diesel,Manual,First,19.0,1461.0,83.0,5.0,5.75
Maruti,Wagon,2012,Hyderabad,72000,LPG,Manual,First,26.0,998.0,58.0,5.0,2.85
Volkswagen,Polo,2011,Kolkata,43000,Petrol,Manual,Second,16.0,1198.0,73.0,5.0,2.1
Hyundai,Creta,2017,Coimbatore,63770,Diesel,Manual,First,19.0,1582.0,126.0,5.0,13.55
Jeep,Compass,2017,Mumbai,52000,Diesel,Manual,First,16.0,1956.0,170.0,5.0,20.0
Land,Rover,2018,Kochi,31427,Diesel,Automatic,First,15.0,1999.0,177.0,5.0,59.72
Maruti,SX4,2007,Jaipur,76000,Petrol,Manual,Second,15.0,1586.0,104.0,5.0,2.15
Hyundai,Elantra,2015,Coimbatore,53615,Diesel,Manual,First,22.0,1582.0,126.0,5.0,8.44
Mitsubishi,Pajero,2013,Bangalore,132000,Diesel,Manual,First,13.0,2477.0,175.0,7.0,12.49
Volkswagen,Ameo,2017,Pune,14800,Petrol,Manual,First,17.0,1198.0,73.0,5.0,5.48
Maruti,Ritz,2013,Hyderabad,35433,Petrol,Manual,First,18.0,1197.0,85.0,5.0,4.2
Hyundai,Verna,2013,Hyderabad,82966,Diesel,Manual,First,16.0,1493.0,110.0,5.0,7.2
Maruti,Swift,2014,Jaipur,96000,Diesel,Manual,First,23.0,1248.0,74.0,5.0,4.8
Mahindra,KUV,2017,Kochi,39528,Diesel,Manual,First,25.0,1198.0,77.0,6.0,5.83
Toyota,Innova,2018,Coimbatore,92056,Diesel,Manual,First,13.0,2393.0,147.0,7.0,18.39
Maruti,Baleno,2016,Pune,14930,Petrol,Manual,First,21.0,1197.0,83.0,5.0,5.85
Hyundai,i20,2013,Delhi,71000,Petrol,Manual,First,17.0,1197.0,80.0,5.0,3.65
Hyundai,i20,2012,Delhi,71000,Diesel,Manual,First,23.0,1396.0,90.0,5.0,3.7
Mercedes-Benz,New,2015,Pune,50000,Diesel,Automatic,First,19.0,2143.0,167.0,5.0,30.0
Hyundai,Xcent,2016,Kochi,48163,Petrol,Manual,First,19.0,1197.0,82.0,5.0,4.85
Hyundai,Grand,2017,Coimbatore,19168,Petrol,Automatic,First,18.0,1197.0,82.0,5.0,6.93
Maruti,Alto,2016,Kolkata,26000,Petrol,Manual,First,22.0,796.0,47.0,5.0,2.6
Chevrolet,Sail,2014,Kolkata,37400,Petrol,Manual,First,18.0,1199.0,82.0,5.0,1.89
Skoda,Superb,2012,Mumbai,95000,Petrol,Automatic,First,13.0,1798.0,157.0,5.0,10.0
Audi,A4,2009,Kolkata,34000,Diesel,Automatic,First,16.0,1968.0,147.0,5.0,9.95
Toyota,Innova,2014,Mumbai,95000,Diesel,Manual,Second,12.0,2494.0,102.0,8.0,9.45
Mercedes-Benz,CLA,2017,Coimbatore,13689,Diesel,Automatic,First,17.0,2143.0,136.0,5.0,28.25
Hyundai,i10,2008,Jaipur,84000,Petrol,Manual,Second,19.0,1086.0,68.0,5.0,1.8
Maruti,Swift,2008,Kolkata,47000,Petrol,Manual,Second,17.0,1298.0,85.0,5.0,1.4
Skoda,Rapid,2015,Ahmedabad,60001,Diesel,Automatic,First,21.0,1498.0,103.0,5.0,7.25
Maruti,Ritz,2012,Hyderabad,96000,Diesel,Manual,First,21.0,1248.0,73.0,5.0,3.6
Hyundai,Accent,2004,Jaipur,47300,Petrol,Manual,Second,14.0,1599.0,94.0,5.0,1.2
Honda,Amaze,2014,Coimbatore,28246,Petrol,Manual,Second,17.0,1198.0,86.0,5.0,4.94
Maruti,Wagon,2007,Delhi,65000,Petrol,Manual,Second,18.0,998.0,67.0,5.0,1.25
Volkswagen,Polo,2013,Chennai,68000,Diesel,Manual,Second,22.0,1199.0,73.0,5.0,4.8
Ford,Endeavour,2019,Kochi,11209,Diesel,Automatic,First,12.0,2198.0,158.0,7.0,31.15
Hyundai,i20,2011,Pune,41980,Petrol,Manual,Second,17.0,1197.0,80.0,5.0,3.3
Chevrolet,Beat,2012,Bangalore,65000,Diesel,Manual,First,25.0,936.0,57.0,5.0,2.4
Honda,Civic,2010,Kolkata,38000,Petrol,Manual,First,14.0,1799.0,130.0,5.0,2.0
Maruti,Wagon,2014,Pune,51000,Petrol,Manual,First,20.0,998.0,67.0,5.0,3.1
Skoda,Rapid,2014,Kochi,33855,Petrol,Manual,First,15.0,1598.0,103.0,5.0,5.09
Ford,EcoSport,2015,Bangalore,47037,Diesel,Manual,Second,22.0,1498.0,98.0,5.0,7.0
Hyundai,Accent,2010,Ahmedabad,58000,Petrol,Manual,Second,13.0,1495.0,94.0,5.0,2.5
BMW,5,2012,Mumbai,61240,Diesel,Automatic,First,22.0,1995.0,190.0,5.0,17.5
Maruti,Alto,2011,Chennai,91211,Petrol,Manual,First,20.0,998.0,67.0,5.0,2.1
Audi,Q3,2013,Bangalore,84000,Diesel,Automatic,First,15.0,1968.0,174.0,5.0,17.75
Maruti,Wagon,2008,Mumbai,64226,LPG,Manual,First,17.0,1061.0,57.0,5.0,1.45
Toyota,Corolla,2005,Bangalore,67000,Petrol,Automatic,Second,11.0,1794.0,125.0,5.0,2.45
Volvo,XC60,2011,Pune,106976,Diesel,Automatic,First,13.0,2400.0,215.0,5.0,13.8
